数据编号,型号,经销商报价,纯电续航里程(km),充电时间(小时),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),电池类型,磷酸铁锂,三元锂,其它,电池容量(kWh)
1,Model Y 2022款 改款 后轮驱动版,28.89,545,快充1小时 慢充10小时,1,10,,217,6.9,12.7,4750,1921,1624,2890,1636,1636,5,5,1929,194,264,340,磷酸铁锂电池,1,0,0,60
2,Model Y 2022款 改款 长续航全轮驱动版,35.79,660,快充1小时 慢充10小时,1,10,,217,5,13.4,4750,1921,1624,2890,1636,1636,5,5,1997,331,450,559,三元锂电池,0,1,0,78.4
3,Model Y 2022款 Performance 高性能全轮驱动版,39.79,615,快充1小时 慢充10小时,1,10,,250,3.7,14.4,4750,1921,1624,2890,1646,1630,5,5,2010,357,486,659,三元锂电池,0,1,0,78.4
4,长安深蓝SL03 2022款 515纯电版,18.39,515,快充0.42小时,0.42,,80,170,5.9,12.3,4820,1890,1480,2900,1620,1630,5,5,1725,190,258,320,三元锂电池,0,1,0,58.1
5,长安深蓝SL03 2022款 705纯电版,21.59,705,快充0.58小时,0.58,,80,170,6.9,12.9,4820,1890,1480,2900,1620,1630,5,5,1825,160,218,320,三元锂电池,0,1,0,79.97
6,Model 3 2022款 后轮驱动版,26.59,556,快充1小时 慢充10小时,1,10,,225,6.1,12.6,4694,1850,1443,2875,1580,1580,4,5,1761,194,264,340,磷酸铁锂电池,1,0,0,60
7,Model 3 2022款 Performance高性能全轮驱动版,34.99,675,快充1小时 慢充10小时,1,10,,261,3.3,13.5,4694,1850,1443,2875,1580,1580,4,5,1836,357,486,659,三元锂电池,0,1,0,78.4
8,海豹 2022款 550KM 标准续航后驱版精英型,20.98,550,快充0.5小时 慢充8.77小时,0.5,8.77,80,180,7.5,12.6,4800,1875,1460,2920,1620,1625,4,5,1885,150,204,310,磷酸铁锂电池,1,0,0,61.4
9,海豹 2022款 550KM 标准续航后驱版尊贵型,22.28,550,快充0.5小时 慢充8.77小时,0.5,8.77,80,180,7.5,12.6,4800,1875,1460,2920,1620,1625,4,5,1885,150,204,310,磷酸铁锂电池,1,0,0,61.4
10,海豹 2022款 700KM 长续航后驱版,25.98,700,快充0.5小时 慢充11.79小时,0.5,11.79,80,180,5.9,13,4800,1875,1460,2920,1620,1625,4,5,2015,230,313,360,磷酸铁锂电池,1,0,0,82.5
11,海豹 2022款 650KM 四驱性能版,28.68,650,快充0.5小时 慢充11.79小时,0.5,11.79,80,180,3.8,14.6,4800,1875,1460,2920,1620,1625,4,5,2150,390,530,670,磷酸铁锂电池,1,0,0,82.5
12,海豚 2021款 自由版,11.28,405,快充0.5小时 慢充6.41小时,0.5,6.41,80,150,10.9,11,4125,1770,1570,2700,1530,1530,5,5,1405,70,95,180,磷酸铁锂电池,1,0,0,44.9
13,海豚 2021款 时尚版,11.78,405,快充0.5小时 慢充6.41小时,0.5,6.41,80,150,10.9,11,4125,1770,1570,2700,1530,1530,5,5,1405,70,95,180,磷酸铁锂电池,1,0,0,44.9
14,海豚 2021款 骑士版,13.08,401,快充0.5小时 慢充6.41小时,0.5,6.41,80,160,7.5,11.3,4150,1770,1570,2700,1530,1530,5,5,1450,130,177,290,磷酸铁锂电池,1,0,0,44.9
15,汉EV 2022款 创世版 715KM尊荣型,26.98,715,快充0.5小时 慢充12.2小时,0.5,12.2,80,185,7.9,13.5,4995,1910,1495,2920,1640,1640,4,5,2100,180,245,350,磷酸铁锂电池,1,0,0,85.4
16,汉EV 2022款 创世版 715KM旗舰型,28.75,715,快充0.5小时 慢充12.2小时,0.5,12.2,80,185,7.9,13.5,4995,1910,1495,2920,1640,1640,4,5,2100,180,245,350,磷酸铁锂电池,1,0,0,85.4
17,汉EV 2022款 创世版 610KM四驱尊享型,28.86,610,快充0.5小时 慢充12.2小时,0.5,12.2,80,185,3.9,14.9,4995,1910,1495,2920,1640,1640,4,5,2250,380,517,700,磷酸铁锂电池,1,0,0,85.4
18,汉EV 2022款 610KM四驱千山翠限量版,32.98,610,快充0.5小时 慢充12.2小时,0.5,12.2,80,185,3.9,14.9,4995,1910,1495,2920,1640,1640,4,5,2250,380,517,700,磷酸铁锂电池,1,0,0,85.4
19,汉EV 2021款 标准续航版豪华型,21.48,506,快充0.42小时 慢充9.26小时,0.42,9.26,80,185,7.9,13.9,4980,1910,1495,2920,1640,1640,4,5,1940,163,222,330,磷酸铁锂电池,1,0,0,64.8
20,汉EV 2020款 超长续航版豪华型,23.48,605,快充0.42小时 慢充10.99小时,0.42,10.99,80,185,7.9,13.9,4980,1910,1495,2920,1640,1640,4,5,2020,163,222,330,磷酸铁锂电池,1,0,0,76.9
21,ZEEKR 001 2022款 超长续航单电机 WE版,29.9,732,,,,,200,6.9,14.7,4970,1999,1560,3005,1713,1726,5,5,2225,200,272,384,三元锂电池,0,1,0,100
22,ZEEKR 001 2022款 长续航双电机 WE版,29.9,536,,,,,200,3.8,17.4,4970,1999,1560,3005,1713,1726,5,5,2290,400,544,768,三元锂电池,0,1,0,86
23,ZEEKR 001 2022款 超长续航双电机 ME版,34.9,616,,,,,200,3.8,17.5,4970,1999,1560,3005,1713,1726,5,5,2350,400,544,768,三元锂电池,0,1,0,100
24,ZEEKR 001 2022款 超长续航双电机 YOU版,38.6,650,,,,,200,3.8,16.5,4970,1999,1548,3005,1713,1726,5,5,2350,400,544,768,三元锂电池,0,1,0,100
25,元PLUS 2022款 430KM 豪华型,13.78,430,快充0.5小时 慢充7.13小时,0.5,7.13,80,160,7.3,12.2,4455,1875,1615,2720,1575,1580,5,5,1615,150,204,310,磷酸铁锂电池,1,0,0,49.92
26,元PLUS 2022款 430KM 尊贵型,14.48,430,快充0.5小时 慢充7.13小时,0.5,7.13,80,160,7.3,12.2,4455,1875,1615,2720,1575,1580,5,5,1615,150,204,310,磷酸铁锂电池,1,0,0,49.92
27,元PLUS 2022款 510KM 尊荣型,14.78,510,快充0.5小时 慢充8.64小时,0.5,8.64,80,160,7.3,12.5,4455,1875,1615,2720,1575,1580,5,5,1690,150,204,310,磷酸铁锂电池,1,0,0,60.48
28,元PLUS 2022款 510KM 旗舰型,15.78,510,快充0.5小时 慢充8.64小时,0.5,8.64,80,160,7.3,12.5,4455,1875,1615,2720,1575,1580,5,5,1690,150,204,310,磷酸铁锂电池,1,0,0,60.48
29,元PLUS 2022款 510KM 旗舰型PLUS,16.58,510,快充0.5小时 慢充8.64小时,0.5,8.64,80,160,7.3,12.5,4455,1875,1615,2720,1575,1580,5,5,1690,150,204,310,磷酸铁锂电池,1,0,0,60.48
30,AION Y 2023款 PLUS 70乐享版,13.98,510,,,,,150,,13.7,4535,1870,1650,2750,1600,1600,5,5,1735,150,204,225,磷酸铁锂电池,1,0,0,63.98
31,AION Y 2023款 PLUS 70智领版,14.98,510,,,,,150,,13.7,4535,1870,1650,2750,1600,1600,5,5,1750,150,204,225,磷酸铁锂电池,1,0,0,63.98
32,AION Y 2023款 PLUS 70科技版,15.98,510,,,,,150,,13.7,4535,1870,1650,2750,1600,1600,5,5,1750,150,204,225,磷酸铁锂电池,1,0,0,63.98
33,AION Y 2023款 PLUS 80乐享版,15.98,610,,,,,150,,13.8,4535,1870,1650,2750,1600,1600,5,5,1750,150,204,225,三元锂电池,0,1,0,76.8
34,AION Y 2023款 PLUS 80智领版,16.98,610,,,,,150,,13.8,4535,1870,1650,2750,1600,1600,5,5,1765,150,204,225,三元锂电池,0,1,0,76.8
35,AION Y 2023款 PLUS 80智驾版,17.98,610,,,,,150,,13.8,4535,1870,1650,2750,1600,1600,5,5,1765,150,204,225,三元锂电池,0,1,0,76.8
36,AION Y 2022款 70 乐享版 磷酸铁锂,13.76,500,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1725,135,184,225,磷酸铁锂电池,1,0,0,63.98
37,AION Y 2022款 70 畅享版 磷酸铁锂,13.76,500,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1725,135,184,225,磷酸铁锂电池,1,0,0,63.98
38,AION Y 2022款 70 智领版 磷酸铁锂,14.76,500,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1725,135,184,225,磷酸铁锂电池,1,0,0,63.98
39,AION Y 2022款 70 智驾版 磷酸铁锂,15.76,500,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1725,135,184,225,磷酸铁锂电池,1,0,0,63.98
40,AION Y 2022款 70 科技版 磷酸铁锂,15.76,500,快充0.57小时 慢充9.5小时,0.57,9.5,80,150,,13.8,4410,1870,1645,2750,1600,1600,5,5,1740,135,184,225,磷酸铁锂电池,1,0,0,63.98
