经销商报价,纯电续航里程(km),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),磷酸铁锂,三元锂,其它,电池容量(kWh)
28.89,545,1,10,79.92343032,217,6.9,12.7,4750,1921,1624,2890,1636,1636,5,5,1929,194,264,340,1,0,0,60
35.79,660,1,10,79.92343032,217,5,13.4,4750,1921,1624,2890,1636,1636,5,5,1997,331,450,559,0,1,0,78.4
39.79,615,1,10,79.92343032,250,3.7,14.4,4750,1921,1624,2890,1646,1630,5,5,2010,357,486,659,0,1,0,78.4
18.39,515,0.42,9.584863481,80,170,5.9,12.3,4820,1890,1480,2900,1620,1630,5,5,1725,190,258,320,0,1,0,58.1
21.59,705,0.58,9.584863481,80,170,6.9,12.9,4820,1890,1480,2900,1620,1630,5,5,1825,160,218,320,0,1,0,79.97
26.59,556,1,10,79.92343032,225,6.1,12.6,4694,1850,1443,2875,1580,1580,4,5,1761,194,264,340,1,0,0,60
34.99,675,1,10,79.92343032,261,3.3,13.5,4694,1850,1443,2875,1580,1580,4,5,1836,357,486,659,0,1,0,78.4
20.98,550,0.5,8.77,80,180,7.5,12.6,4800,1875,1460,2920,1620,1625,4,5,1885,150,204,310,1,0,0,61.4
22.28,550,0.5,8.77,80,180,7.5,12.6,4800,1875,1460,2920,1620,1625,4,5,1885,150,204,310,1,0,0,61.4
25.98,700,0.5,11.79,80,180,5.9,13,4800,1875,1460,2920,1620,1625,4,5,2015,230,313,360,1,0,0,82.5
28.68,650,0.5,11.79,80,180,3.8,14.6,4800,1875,1460,2920,1620,1625,4,5,2150,390,530,670,1,0,0,82.5
11.28,405,0.5,6.41,80,150,10.9,11,4125,1770,1570,2700,1530,1530,5,5,1405,70,95,180,1,0,0,44.9
11.78,405,0.5,6.41,80,150,10.9,11,4125,1770,1570,2700,1530,1530,5,5,1405,70,95,180,1,0,0,44.9
13.08,401,0.5,6.41,80,160,7.5,11.3,4150,1770,1570,2700,1530,1530,5,5,1450,130,177,290,1,0,0,44.9
26.98,715,0.5,12.2,80,185,7.9,13.5,4995,1910,1495,2920,1640,1640,4,5,2100,180,245,350,1,0,0,85.4
28.75,715,0.5,12.2,80,185,7.9,13.5,4995,1910,1495,2920,1640,1640,4,5,2100,180,245,350,1,0,0,85.4
28.86,610,0.5,12.2,80,185,3.9,14.9,4995,1910,1495,2920,1640,1640,4,5,2250,380,517,700,1,0,0,85.4
32.98,610,0.5,12.2,80,185,3.9,14.9,4995,1910,1495,2920,1640,1640,4,5,2250,380,517,700,1,0,0,85.4
21.48,506,0.42,9.26,80,185,7.9,13.9,4980,1910,1495,2920,1640,1640,4,5,1940,163,222,330,1,0,0,64.8
23.48,605,0.42,10.99,80,185,7.9,13.9,4980,1910,1495,2920,1640,1640,4,5,2020,163,222,330,1,0,0,76.9
29.9,732,0.609070465,9.584863481,79.92343032,200,6.9,14.7,4970,1999,1560,3005,1713,1726,5,5,2225,200,272,384,0,1,0,100
29.9,536,0.609070465,9.584863481,79.92343032,200,3.8,17.4,4970,1999,1560,3005,1713,1726,5,5,2290,400,544,768,0,1,0,86
34.9,616,0.609070465,9.584863481,79.92343032,200,3.8,17.5,4970,1999,1560,3005,1713,1726,5,5,2350,400,544,768,0,1,0,100
38.6,650,0.609070465,9.584863481,79.92343032,200,3.8,16.5,4970,1999,1548,3005,1713,1726,5,5,2350,400,544,768,0,1,0,100
13.78,430,0.5,7.13,80,160,7.3,12.2,4455,1875,1615,2720,1575,1580,5,5,1615,150,204,310,1,0,0,49.92
14.48,430,0.5,7.13,80,160,7.3,12.2,4455,1875,1615,2720,1575,1580,5,5,1615,150,204,310,1,0,0,49.92
14.78,510,0.5,8.64,80,160,7.3,12.5,4455,1875,1615,2720,1575,1580,5,5,1690,150,204,310,1,0,0,60.48
15.78,510,0.5,8.64,80,160,7.3,12.5,4455,1875,1615,2720,1575,1580,5,5,1690,150,204,310,1,0,0,60.48
16.58,510,0.5,8.64,80,160,7.3,12.5,4455,1875,1615,2720,1575,1580,5,5,1690,150,204,310,1,0,0,60.48
13.98,510,0.609070465,9.584863481,79.92343032,150,7.028394004,13.7,4535,1870,1650,2750,1600,1600,5,5,1735,150,204,225,1,0,0,63.98
14.98,510,0.609070465,9.584863481,79.92343032,150,7.028394004,13.7,4535,1870,1650,2750,1600,1600,5,5,1750,150,204,225,1,0,0,63.98
